name,rarity,desc,effect
Шприц солдата, Обычный, Увеличивает скорость атаки, +15% к скорости атаки за стак
Улитка осторожности, Обычный, Восстанавливает здоровье вне боя, +3 HP в секунду за стак
Копыта козы Пола, Обычный, Увеличивает скорость передвижения, +14% к скорости за стак
Очки изготовителя линз, Обычный, Повышает шанс критического удара, +10% к шансу крита за стак (крит ×2 урона)
Треугольный кинжал, Обычный, Шанс вызвать кровотечение, +10% к шансу кровотечения за стак (240% базового урона)
Боевое знамя, Обычный, Усиляет союзников, +30% к атаке и скорости в радиусе 16 м (+8 м за стак)
Генератор персонального щита, Обычный, Даёт дополнительный щит, +8% щита за стак (восстанавливается за 7 с после урона)
Аптечка, Обычный, Лечит после получения урона, 20 HP +5% от макс. HP через 2 с за стак
Бензин, Обычный, Поджигает врагов при убийстве, радиус 12 м (+4 м за стак), 150% (+75% за стак) урона
Светошумовая граната, Обычный, Шанс оглушить врага, 5% шанса оглушить на 2 с за стак
Связка фейерверков, Обычный, Фейерверки при открытии сундука, 8 (+4 за стак) фейерверков, 300% урона
Энергетический напиток, Обычный, Увеличивает скорость спринта, +30% (+20% за стак) к скорости спринта
Запасная обойма, Обычный, Дополнительный заряд навыка, +1 (+1 за стак) заряд вторичного навыка
Липучая бомба, Обычный, Шанс прикрепить бомбу, 5% (+2,5% за стак) шанса, 250% (+125% за стак) урона
Ржавый ключ, Обычный, Открывает скрытый тайник, Тайник с предметом на каждом уровне (повышает редкость)
Бронебойные патроны, Обычный, Дополнительный урон боссам, +20% (+10% за стак) урона боссам
Ракета AtG Mk. 1, Редкий, Шанс запустить ракету, 10% шанса, 300% (+300% за стак) урона
Лучший друг Дио, Редкий, Возрождение после смерти, Возрождает с 3 с неуязвимости (предмет уничтожается)
Послесвечение ускорителя, Редкий, Дополнительные заряды навыка, +2 (+2 за стак) заряда, −33% времени восстановления
След воронов, Редкий, Даёт силу элитного монстра, 8 с (+5 с за стак) силы элитного монстра
Мозговые усики, Редкий, Режим безумия после убийства элитника, 3 с (+2 с за стак) безумия (беспрерывное использование умений)
Стойка омоложения, Редкий, Усиливает исцеление, +100% (+100% за стак) к эффекту исцеления
Хрупкая корона, Босс, Шанс получить золото при ударе, 30% шанса получить +3 золота за стак
Трансценденция, Босс, Превращает HP в щиты, Оставляет 1 HP, остальное — регенерирующие щиты, +50% (+25% за стак) к макс. HP
Цветочное тело, Босс, Постепенное лечение, +100% (+100% за стак) к лечению (макс. 10% (−50% за стак) от макс. HP в секунду)
Жест утопленника, Босс, Уменьшает время восстановления оборудования, −50% (−50% за стак) времени восстановления, активирует оборудование при выключении
Преонный аккумулятор, Босс, Атака преонными усиками, До 600% урона в секунду в радиусе 35 м, взрыв при контакте (4000% урона в радиусе 20 м)
Млечный кокон, Босс, Даёт полёт и скорость, +15 с полёта, +20% к скорости передвижения
Королевский конденсатор, Босс, Удар молнией по цели, 3000% урона + оглушение ближайших врагов
Лазерная прицельная система, Легендарный, Усиливает критические удары, +100% урона за стак при крите
Перо Хопу, Легендарный, Дополнительные прыжки, +1 (+1 за стак) прыжок
Нестабильная катушка Теслы, Легендарный, Атака молнией по целям, 3 (+2 за стак) цели, 200% урона каждые 0,5 с (отключается каждые 10 с)
Разбитая селезёнка, Легендарный, Кровотечение и взрыв при крите, Крит вызывает кровотечение (240% урона), взрыв при смерти (400% +15% от макс. HP за стак)
